t_mono,wall_ts,model,phase,gpu_w,gpu_temp_c,cpu_temp_c,cpu_pct
9494.645,,gemma3:1b,idle,12.63,47.0,,
9495.169,,gemma3:1b,idle,12.64,47.0,,
9495.693,,gemma3:1b,idle,12.45,47.0,,
9496.221,,gemma3:1b,idle,12.40,47.0,,
9496.750,,gemma3:1b,idle,12.23,47.0,,
9497.280,,gemma3:1b,idle,12.50,47.0,,
9497.818,,gemma3:1b,idle,12.86,47.0,,
9498.341,,gemma3:1b,idle,12.90,47.0,,
9498.894,,gemma3:1b,idle,12.53,47.0,,
9499.426,,gemma3:1b,idle,12.39,47.0,,
9499.958,,gemma3:1b,idle,12.78,47.0,,
9500.482,,gemma3:1b,idle,12.58,47.0,,
9501.016,,gemma3:1b,idle,12.26,47.0,,
9501.542,,gemma3:1b,idle,12.56,47.0,,
9502.082,,gemma3:1b,idle,12.88,47.0,,
9502.609,,gemma3:1b,idle,12.79,47.0,,
9503.138,,gemma3:1b,idle,12.83,47.0,,
9503.664,,gemma3:1b,idle,12.81,47.0,,
9504.193,,gemma3:1b,idle,12.79,47.0,,
9504.720,,gemma3:1b,idle,12.88,47.0,,
9505.246,,gemma3:1b,idle,12.84,47.0,,
9505.771,,gemma3:1b,idle,12.72,47.0,,
9506.294,,gemma3:1b,idle,12.54,47.0,,
9506.819,,gemma3:1b,idle,12.36,47.0,,
9507.345,,gemma3:1b,idle,12.63,47.0,,
9507.870,,gemma3:1b,idle,12.76,47.0,,
9508.395,,gemma3:1b,idle,12.88,47.0,,
9508.924,,gemma3:1b,idle,12.89,47.0,,
9509.450,,gemma3:1b,idle,12.80,47.0,,
9509.984,,gemma3:1b,idle,12.72,47.0,,
9510.509,,gemma3:1b,idle,12.68,47.0,,
9511.046,,gemma3:1b,idle,12.61,47.0,,
9511.573,,gemma3:1b,idle,12.39,47.0,,
9512.097,,gemma3:1b,idle,12.57,47.0,,
9512.636,,gemma3:1b,idle,12.72,47.0,,
9513.162,,gemma3:1b,idle,12.76,47.0,,
9513.705,,gemma3:1b,idle,12.71,47.0,,
9514.230,,gemma3:1b,idle,12.47,47.0,,
9514.755,,gemma3:1b,idle,12.65,47.0,,
9515.299,,gemma3:1b,run1_p0,12.69,47.0,,
9515.825,,gemma3:1b,run1_p0,18.07,47.0,,
9516.361,,gemma3:1b,run1_p1,34.89,50.0,,
9516.889,,gemma3:1b,run1_p2,62.51,54.0,,
9517.426,,gemma3:1b,run1_p3,68.40,55.0,,
9517.958,,gemma3:1b,run1_p4,65.89,54.0,,
9518.499,,gemma3:1b,run1_p5,62.98,51.0,,
9519.034,,gemma3:1b,run1_p6,69.54,51.0,,
9519.565,,gemma3:1b,run1_p6,74.54,51.0,,
9520.089,,gemma3:1b,run1_p6,89.96,59.0,,
9520.614,,gemma3:1b,run1_p6,105.17,60.0,,
9521.137,,gemma3:1b,run1_p6,105.71,60.0,,
9521.663,,gemma3:1b,run1_p6,106.19,61.0,,
9522.192,,gemma3:1b,run1_p6,106.64,60.0,,
9522.718,,gemma3:1b,run1_p6,106.78,60.0,,
9523.246,,gemma3:1b,run1_p6,106.62,61.0,,
9523.782,,gemma3:1b,run1_p7,79.44,60.0,,
9524.309,,gemma3:1b,run1_p7,67.87,53.0,,
9524.832,,gemma3:1b,run1_p7,89.52,60.0,,
9525.354,,gemma3:1b,run1_p7,107.26,61.0,,
9525.877,,gemma3:1b,run1_p7,107.67,62.0,,
9526.401,,gemma3:1b,run1_p7,107.54,62.0,,
9526.973,,gemma3:1b,run1_p7,106.92,62.0,,
9527.496,,gemma3:1b,run1_p7,107.39,62.0,,
9528.022,,gemma3:1b,run1_p7,107.77,62.0,,
9528.549,,gemma3:1b,run1_p7,107.92,63.0,,
9529.087,,gemma3:1b,run1_p8,88.89,54.0,,
9529.611,,gemma3:1b,run1_p8,75.20,60.0,,
9530.135,,gemma3:1b,run1_p8,88.39,62.0,,
9530.660,,gemma3:1b,run1_p8,108.44,62.0,,
9531.187,,gemma3:1b,run1_p8,108.19,61.0,,
9531.713,,gemma3:1b,run1_p8,107.93,62.0,,
9532.238,,gemma3:1b,run1_p8,108.15,62.0,,
9532.764,,gemma3:1b,run1_p8,108.26,62.0,,
9533.297,,gemma3:1b,run1_p8,108.26,62.0,,
9533.819,,gemma3:1b,run1_p8,108.55,62.0,,
9534.355,,gemma3:1b,run1_p9,90.90,55.0,,
9534.880,,gemma3:1b,run1_p9,74.51,59.0,,
9535.406,,gemma3:1b,run1_p10,87.87,62.0,,
9535.929,,gemma3:1b,run1_p10,94.57,60.0,,
9536.451,,gemma3:1b,run1_p10,94.74,61.0,,
9536.976,,gemma3:1b,run1_p10,106.92,61.0,,
9537.499,,gemma3:1b,run1_p10,106.66,62.0,,
9538.023,,gemma3:1b,run1_p10,107.28,61.0,,
9538.545,,gemma3:1b,run1_p10,107.38,61.0,,
9539.073,,gemma3:1b,run1_p10,107.41,61.0,,
9539.599,,gemma3:1b,run1_p10,106.63,61.0,,
9540.122,,gemma3:1b,run1_p10,107.18,61.0,,
9540.668,,gemma3:1b,run1_p11,80.91,54.0,,
9541.205,,gemma3:1b,run1_p11,66.28,54.0,,
9541.750,,gemma3:1b,run1_p11,93.06,61.0,,
9542.322,,gemma3:1b,run1_p11,107.26,61.0,,
9542.868,,gemma3:1b,run1_p11,107.14,61.0,,
9543.394,,gemma3:1b,run1_p11,106.69,61.0,,
9543.937,,gemma3:1b,run1_p11,106.50,61.0,,
9544.459,,gemma3:1b,run1_p11,107.74,61.0,,
9544.985,,gemma3:1b,run1_p11,107.77,61.0,,
9545.510,,gemma3:1b,run1_p11,107.88,61.0,,
9546.034,,gemma3:1b,run1_p11,108.37,61.0,,
9546.557,,gemma3:1b,run1_p11,107.69,59.0,,
9547.097,,gemma3:1b,run1_p11,107.60,60.0,,
9547.636,,gemma3:1b,run1_p11,108.16,61.0,,
9548.174,,gemma3:1b,run1_p12,91.50,53.0,,
9548.700,,gemma3:1b,run1_p12,79.18,59.0,,
9549.240,,gemma3:1b,run1_p12,88.48,60.0,,
9549.820,,gemma3:1b,run1_p13,98.84,60.0,,
9550.345,,gemma3:1b,run1_p13,90.84,59.0,,
9550.869,,gemma3:1b,run1_p13,91.58,60.0,,
9551.414,,gemma3:1b,run1_p13,105.35,59.0,,
9551.949,,gemma3:1b,run1_p13,104.76,60.0,,
9552.488,,gemma3:1b,run1_p13,104.82,60.0,,
9553.010,,gemma3:1b,run1_p13,104.93,60.0,,
9553.552,,gemma3:1b,run1_p14,93.87,60.0,,
9554.076,,gemma3:1b,run1_p14,82.45,56.0,,
9554.598,,gemma3:1b,run1_p14,88.07,59.0,,
9555.125,,gemma3:1b,run1_p14,105.76,60.0,,
9555.650,,gemma3:1b,run1_p14,106.37,60.0,,
9556.175,,gemma3:1b,run1_p14,106.37,60.0,,
9556.709,,gemma3:1b,run1_p14,105.65,60.0,,
9557.241,,gemma3:1b,run1_p14,104.41,60.0,,
9557.768,,gemma3:1b,run1_p14,104.61,59.0,,
9558.294,,gemma3:1b,run1_p14,105.32,60.0,,
9558.829,,gemma3:1b,run1_p14,105.18,60.0,,
9559.366,,gemma3:1b,run1_p14,105.62,60.0,,
9559.891,,gemma3:1b,run1_p14,106.13,60.0,,
9560.431,,gemma3:1b,run2_p0,98.34,60.0,,
9560.959,,gemma3:1b,run2_p1,81.48,52.0,,
9561.492,,gemma3:1b,run2_p2,67.01,52.0,,
9562.031,,gemma3:1b,run2_p3,65.17,52.0,,
9562.570,,gemma3:1b,run2_p4,61.93,52.0,,
9563.103,,gemma3:1b,run2_p5,60.76,51.0,,
9563.634,,gemma3:1b,run2_p6,67.46,52.0,,
9564.161,,gemma3:1b,run2_p6,74.83,55.0,,
9564.686,,gemma3:1b,run2_p6,90.26,58.0,,
9565.214,,gemma3:1b,run2_p6,104.32,59.0,,
9565.741,,gemma3:1b,run2_p6,104.89,59.0,,
9566.268,,gemma3:1b,run2_p6,106.20,59.0,,
9566.792,,gemma3:1b,run2_p6,106.82,59.0,,
9567.316,,gemma3:1b,run2_p6,106.30,59.0,,
9567.839,,gemma3:1b,run2_p6,105.63,59.0,,
9568.388,,gemma3:1b,run2_p7,75.00,51.0,,
9568.934,,gemma3:1b,run2_p7,64.39,56.0,,
9569.462,,gemma3:1b,run2_p7,88.67,58.0,,
9569.988,,gemma3:1b,run2_p7,104.07,58.0,,
9570.527,,gemma3:1b,run2_p7,104.86,59.0,,
9571.067,,gemma3:1b,run2_p7,105.99,59.0,,
9571.610,,gemma3:1b,run2_p7,105.80,59.0,,
9572.136,,gemma3:1b,run2_p7,105.15,59.0,,
9572.659,,gemma3:1b,run2_p7,104.11,58.0,,
9573.183,,gemma3:1b,run2_p7,103.51,58.0,,
9573.739,,gemma3:1b,run2_p8,80.84,52.0,,
9574.314,,gemma3:1b,run2_p8,66.39,50.0,,
9574.853,,gemma3:1b,run2_p8,89.90,58.0,,
9575.414,,gemma3:1b,run2_p8,105.05,58.0,,
9575.940,,gemma3:1b,run2_p8,104.94,59.0,,
9576.466,,gemma3:1b,run2_p8,104.57,58.0,,
9576.990,,gemma3:1b,run2_p8,104.30,58.0,,
9577.519,,gemma3:1b,run2_p8,104.74,58.0,,
9578.050,,gemma3:1b,run2_p8,105.00,57.0,,
9578.573,,gemma3:1b,run2_p8,104.97,58.0,,
9579.097,,gemma3:1b,run2_p8,105.05,58.0,,
9579.621,,gemma3:1b,run2_p8,105.77,59.0,,
9580.156,,gemma3:1b,run2_p9,82.04,58.0,,
9580.694,,gemma3:1b,run2_p9,65.61,50.0,,
9581.265,,gemma3:1b,run2_p10,86.13,52.0,,
9581.789,,gemma3:1b,run2_p10,90.14,57.0,,
9582.312,,gemma3:1b,run2_p10,90.47,58.0,,
9582.836,,gemma3:1b,run2_p10,105.16,59.0,,
9583.375,,gemma3:1b,run2_p10,106.12,58.0,,
9583.898,,gemma3:1b,run2_p10,106.83,58.0,,
9584.425,,gemma3:1b,run2_p10,106.11,57.0,,
9584.953,,gemma3:1b,run2_p10,105.44,59.0,,
9585.483,,gemma3:1b,run2_p11,89.49,52.0,,
9586.010,,gemma3:1b,run2_p11,73.17,55.0,,
9586.540,,gemma3:1b,run2_p11,86.42,58.0,,
9587.066,,gemma3:1b,run2_p11,105.84,58.0,,
9587.594,,gemma3:1b,run2_p11,105.44,58.0,,
9588.118,,gemma3:1b,run2_p11,105.35,58.0,,
9588.648,,gemma3:1b,run2_p11,106.07,57.0,,
9589.173,,gemma3:1b,run2_p11,106.26,59.0,,
9589.698,,gemma3:1b,run2_p11,105.63,59.0,,
9590.223,,gemma3:1b,run2_p11,105.77,58.0,,
9590.746,,gemma3:1b,run2_p11,106.38,58.0,,
9591.287,,gemma3:1b,run2_p11,106.20,59.0,,
9591.821,,gemma3:1b,run2_p11,106.16,59.0,,
9592.352,,gemma3:1b,run2_p11,106.29,59.0,,
9592.893,,gemma3:1b,run2_p12,88.33,57.0,,
9593.423,,gemma3:1b,run2_p12,73.49,50.0,,
9593.950,,gemma3:1b,run2_p12,87.70,58.0,,
9594.489,,gemma3:1b,run2_p13,104.23,58.0,,
9595.065,,gemma3:1b,run2_p13,89.38,51.0,,
9595.589,,gemma3:1b,run2_p13,91.11,58.0,,
9596.113,,gemma3:1b,run2_p13,106.24,58.0,,
9596.641,,gemma3:1b,run2_p13,105.86,59.0,,
9597.164,,gemma3:1b,run2_p13,105.94,59.0,,
9597.693,,gemma3:1b,run2_p13,106.13,58.0,,
9598.221,,gemma3:1b,run2_p13,105.59,58.0,,
9598.767,,gemma3:1b,run2_p14,83.31,59.0,,
9599.323,,gemma3:1b,run2_p14,71.54,58.0,,
9599.854,,gemma3:1b,run2_p14,88.18,58.0,,
9600.380,,gemma3:1b,run2_p14,105.82,58.0,,
9600.915,,gemma3:1b,run2_p14,105.91,58.0,,
9601.457,,gemma3:1b,run2_p14,106.61,59.0,,
9601.997,,gemma3:1b,run2_p14,105.77,58.0,,
9602.520,,gemma3:1b,run2_p14,105.42,58.0,,
9603.062,,gemma3:1b,run2_p14,105.83,59.0,,
9603.606,,gemma3:1b,run2_p14,106.55,59.0,,
9604.130,,gemma3:1b,run2_p14,107.03,59.0,,
9604.657,,gemma3:1b,run2_p14,106.37,58.0,,
9605.199,,gemma3:1b,run3_p0,96.13,58.0,,
9605.768,,gemma3:1b,run3_p1,71.06,56.0,,
9606.308,,gemma3:1b,run3_p2,65.34,54.0,,
9606.841,,gemma3:1b,run3_p3,65.84,54.0,,
9607.369,,gemma3:1b,run3_p4,60.08,53.0,,
9607.937,,gemma3:1b,run3_p5,63.07,53.0,,
9608.485,,gemma3:1b,run3_p6,74.54,51.0,,
9609.012,,gemma3:1b,run3_p6,79.39,50.0,,
9609.557,,gemma3:1b,run3_p6,93.78,57.0,,
9610.096,,gemma3:1b,run3_p6,105.67,58.0,,
9610.635,,gemma3:1b,run3_p6,105.46,58.0,,
9611.175,,gemma3:1b,run3_p6,105.69,58.0,,
9611.714,,gemma3:1b,run3_p6,105.54,58.0,,
9612.242,,gemma3:1b,run3_p6,105.45,58.0,,
9612.765,,gemma3:1b,run3_p6,105.31,58.0,,
9613.305,,gemma3:1b,run3_p7,78.80,50.0,,
9613.846,,gemma3:1b,run3_p7,68.61,57.0,,
9614.389,,gemma3:1b,run3_p7,89.09,57.0,,
9614.931,,gemma3:1b,run3_p7,105.00,57.0,,
9615.461,,gemma3:1b,run3_p7,104.71,57.0,,
9615.992,,gemma3:1b,run3_p7,105.01,58.0,,
9616.529,,gemma3:1b,run3_p7,105.88,58.0,,
9617.069,,gemma3:1b,run3_p7,105.85,58.0,,
9617.603,,gemma3:1b,run3_p7,106.40,58.0,,
9618.165,,gemma3:1b,run3_p8,89.48,54.0,,
9618.691,,gemma3:1b,run3_p8,75.05,55.0,,
9619.213,,gemma3:1b,run3_p8,87.60,57.0,,
9619.741,,gemma3:1b,run3_p8,104.00,58.0,,
9620.264,,gemma3:1b,run3_p8,105.01,57.0,,
9620.791,,gemma3:1b,run3_p8,105.50,58.0,,
9621.314,,gemma3:1b,run3_p8,106.00,58.0,,
9621.839,,gemma3:1b,run3_p8,105.64,58.0,,
9622.363,,gemma3:1b,run3_p8,104.86,58.0,,
9622.888,,gemma3:1b,run3_p8,104.36,58.0,,
9623.419,,gemma3:1b,run3_p8,105.06,58.0,,
9623.955,,gemma3:1b,run3_p9,82.30,54.0,,
9624.481,,gemma3:1b,run3_p9,70.29,49.0,,
9625.037,,gemma3:1b,run3_p9,88.43,58.0,,
9625.564,,gemma3:1b,run3_p10,86.37,58.0,,
9626.092,,gemma3:1b,run3_p10,69.61,49.0,,
9626.622,,gemma3:1b,run3_p10,89.79,57.0,,
9627.146,,gemma3:1b,run3_p10,105.59,58.0,,
9627.672,,gemma3:1b,run3_p10,105.13,58.0,,
9628.199,,gemma3:1b,run3_p10,106.14,58.0,,
9628.729,,gemma3:1b,run3_p10,106.47,58.0,,
9629.254,,gemma3:1b,run3_p10,105.96,58.0,,
9629.778,,gemma3:1b,run3_p10,105.58,58.0,,
9630.310,,gemma3:1b,run3_p11,91.45,50.0,,
9630.842,,gemma3:1b,run3_p11,78.22,57.0,,
9631.374,,gemma3:1b,run3_p11,91.41,58.0,,
9631.917,,gemma3:1b,run3_p11,105.98,58.0,,
9632.446,,gemma3:1b,run3_p11,106.18,58.0,,
9632.974,,gemma3:1b,run3_p11,106.63,58.0,,
9633.499,,gemma3:1b,run3_p11,106.58,58.0,,
9634.032,,gemma3:1b,run3_p11,106.01,58.0,,
9634.574,,gemma3:1b,run3_p11,105.03,58.0,,
9635.116,,gemma3:1b,run3_p11,104.67,58.0,,
9635.639,,gemma3:1b,run3_p11,105.08,58.0,,
9636.164,,gemma3:1b,run3_p11,105.45,58.0,,
9636.693,,gemma3:1b,run3_p11,106.11,58.0,,
9637.224,,gemma3:1b,run3_p11,106.37,58.0,,
9637.747,,gemma3:1b,run3_p11,106.20,58.0,,
9638.280,,gemma3:1b,run3_p12,84.32,51.0,,
9638.813,,gemma3:1b,run3_p12,68.29,55.0,,
9639.336,,gemma3:1b,run3_p12,90.39,58.0,,
9639.882,,gemma3:1b,run3_p13,101.97,57.0,,
9640.410,,gemma3:1b,run3_p13,88.89,55.0,,
9640.938,,gemma3:1b,run3_p13,90.91,57.0,,
9641.469,,gemma3:1b,run3_p13,105.33,58.0,,
9641.994,,gemma3:1b,run3_p13,104.88,57.0,,
9642.519,,gemma3:1b,run3_p13,105.30,58.0,,
9643.043,,gemma3:1b,run3_p13,104.95,58.0,,
9643.569,,gemma3:1b,run3_p13,104.93,58.0,,
9644.093,,gemma3:1b,run3_p13,105.58,58.0,,
9644.662,,gemma3:1b,run3_p14,100.94,58.0,,
9645.190,,gemma3:1b,run3_p14,88.50,51.0,,
9645.725,,gemma3:1b,run3_p14,88.09,58.0,,
9646.255,,gemma3:1b,run3_p14,103.49,58.0,,
9646.780,,gemma3:1b,run3_p14,104.01,58.0,,
9647.304,,gemma3:1b,run3_p14,104.64,58.0,,
9647.840,,gemma3:1b,run3_p14,105.09,58.0,,
9648.366,,gemma3:1b,run3_p14,103.20,57.0,,
9648.891,,gemma3:1b,run3_p14,103.24,58.0,,
9649.418,,gemma3:1b,run3_p14,105.44,58.0,,
9649.947,,gemma3:1b,run3_p14,104.69,58.0,,
9650.470,,gemma3:1b,run3_p14,104.59,58.0,,
9650.992,,gemma3:1b,run3_p14,104.79,58.0,,
9651.513,,gemma3:1b,run3_p14,104.77,58.0,,
9699.161,,gemma3:4b,idle,16.21,41.0,,
9699.697,,gemma3:4b,idle,16.73,41.0,,
9700.231,,gemma3:4b,idle,17.07,41.0,,
9700.756,,gemma3:4b,idle,16.64,41.0,,
9701.281,,gemma3:4b,idle,16.10,41.0,,
9701.824,,gemma3:4b,idle,16.46,41.0,,
9702.355,,gemma3:4b,idle,17.15,41.0,,
9702.885,,gemma3:4b,idle,16.93,41.0,,
9703.424,,gemma3:4b,idle,16.01,41.0,,
9703.950,,gemma3:4b,idle,16.06,41.0,,
9704.511,,gemma3:4b,idle,16.90,41.0,,
9705.047,,gemma3:4b,idle,16.96,41.0,,
9705.585,,gemma3:4b,idle,16.57,41.0,,
9706.121,,gemma3:4b,idle,16.40,41.0,,
9706.662,,gemma3:4b,idle,16.81,41.0,,
9707.204,,gemma3:4b,idle,17.17,41.0,,
9707.770,,gemma3:4b,idle,16.89,41.0,,
9708.298,,gemma3:4b,idle,16.17,41.0,,
9708.849,,gemma3:4b,idle,16.26,41.0,,
9709.383,,gemma3:4b,idle,16.90,41.0,,
9709.913,,gemma3:4b,idle,17.00,41.0,,
9710.442,,gemma3:4b,idle,16.40,41.0,,
9710.971,,gemma3:4b,idle,16.38,41.0,,
9711.500,,gemma3:4b,idle,16.38,41.0,,
9712.030,,gemma3:4b,idle,16.91,41.0,,
9712.571,,gemma3:4b,idle,16.50,41.0,,
9713.104,,gemma3:4b,idle,16.06,41.0,,
9713.641,,gemma3:4b,idle,16.20,41.0,,
9714.170,,gemma3:4b,idle,16.72,41.0,,
9714.710,,gemma3:4b,idle,17.07,41.0,,
9715.251,,gemma3:4b,idle,16.59,41.0,,
9715.791,,gemma3:4b,idle,16.16,41.0,,
9716.321,,gemma3:4b,idle,16.35,41.0,,
9716.849,,gemma3:4b,idle,17.02,41.0,,
9717.376,,gemma3:4b,idle,16.80,41.0,,
9717.903,,gemma3:4b,idle,16.22,41.0,,
9718.434,,gemma3:4b,idle,16.33,41.0,,
9718.971,,gemma3:4b,idle,16.91,41.0,,
9719.514,,gemma3:4b,run1_p0,17.15,42.0,,
9720.043,,gemma3:4b,run1_p0,18.52,42.0,,
9720.574,,gemma3:4b,run1_p1,54.47,49.0,,
9721.126,,gemma3:4b,run1_p1,92.69,46.0,,
9721.650,,gemma3:4b,run1_p1,101.90,54.0,,
9722.173,,gemma3:4b,run1_p1,120.03,56.0,,
9722.705,,gemma3:4b,run1_p2,104.53,57.0,,
9723.263,,gemma3:4b,run1_p2,89.04,47.0,,
9723.802,,gemma3:4b,run1_p3,91.66,49.0,,
9724.324,,gemma3:4b,run1_p3,94.81,49.0,,
9724.865,,gemma3:4b,run1_p3,100.63,57.0,,
9725.392,,gemma3:4b,run1_p3,121.42,58.0,,
9725.923,,gemma3:4b,run1_p4,104.63,49.0,,
9726.454,,gemma3:4b,run1_p4,87.79,57.0,,
9726.987,,gemma3:4b,run1_p5,90.96,53.0,,
9727.511,,gemma3:4b,run1_p5,95.83,57.0,,
9728.034,,gemma3:4b,run1_p5,103.07,59.0,,
9728.566,,gemma3:4b,run1_p6,103.46,51.0,,
9729.092,,gemma3:4b,run1_p6,88.37,57.0,,
9729.621,,gemma3:4b,run1_p6,100.86,59.0,,
9730.144,,gemma3:4b,run1_p6,123.85,60.0,,
9730.666,,gemma3:4b,run1_p6,124.32,60.0,,
9731.194,,gemma3:4b,run1_p6,124.18,60.0,,
9731.719,,gemma3:4b,run1_p6,124.18,61.0,,
9732.241,,gemma3:4b,run1_p6,124.53,61.0,,
9732.764,,gemma3:4b,run1_p6,124.44,61.0,,
9733.290,,gemma3:4b,run1_p6,124.92,61.0,,
9733.816,,gemma3:4b,run1_p6,124.65,61.0,,
9734.339,,gemma3:4b,run1_p6,124.64,60.0,,
9734.861,,gemma3:4b,run1_p6,124.54,62.0,,
9735.386,,gemma3:4b,run1_p6,125.23,62.0,,
9735.911,,gemma3:4b,run1_p6,124.81,62.0,,
9736.444,,gemma3:4b,run1_p6,124.49,62.0,,
9736.972,,gemma3:4b,run1_p6,124.55,62.0,,
9737.504,,gemma3:4b,run1_p6,124.58,63.0,,
9738.032,,gemma3:4b,run1_p6,125.03,63.0,,
9738.557,,gemma3:4b,run1_p6,125.31,63.0,,
9739.082,,gemma3:4b,run1_p6,125.57,63.0,,
9739.611,,gemma3:4b,run1_p6,125.26,63.0,,
9740.136,,gemma3:4b,run1_p6,125.29,62.0,,
9740.662,,gemma3:4b,run1_p6,125.43,64.0,,
9741.188,,gemma3:4b,run1_p6,125.17,63.0,,
9741.723,,gemma3:4b,run1_p6,125.18,63.0,,
9742.306,,gemma3:4b,run1_p7,113.99,63.0,,
9742.843,,gemma3:4b,run1_p7,104.12,54.0,,
9743.369,,gemma3:4b,run1_p7,106.71,62.0,,
9743.919,,gemma3:4b,run1_p7,126.41,63.0,,
9744.444,,gemma3:4b,run1_p7,126.64,63.0,,
9744.976,,gemma3:4b,run1_p7,126.30,63.0,,
9745.501,,gemma3:4b,run1_p7,125.85,63.0,,
9746.027,,gemma3:4b,run1_p7,125.75,63.0,,
9746.566,,gemma3:4b,run1_p7,126.13,64.0,,
9747.093,,gemma3:4b,run1_p7,126.57,63.0,,
9747.620,,gemma3:4b,run1_p7,126.68,63.0,,
9748.151,,gemma3:4b,run1_p7,126.33,63.0,,
9748.682,,gemma3:4b,run1_p7,126.23,62.0,,
9749.207,,gemma3:4b,run1_p7,125.80,63.0,,
9749.730,,gemma3:4b,run1_p7,125.51,64.0,,
9750.256,,gemma3:4b,run1_p7,125.73,64.0,,
9750.781,,gemma3:4b,run1_p7,126.11,63.0,,
9751.304,,gemma3:4b,run1_p7,126.22,63.0,,
9751.832,,gemma3:4b,run1_p7,125.81,63.0,,
9752.356,,gemma3:4b,run1_p7,125.51,63.0,,
9752.882,,gemma3:4b,run1_p7,125.74,63.0,,
9753.414,,gemma3:4b,run1_p7,125.94,63.0,,
9753.940,,gemma3:4b,run1_p7,126.40,63.0,,
9754.466,,gemma3:4b,run1_p7,126.40,63.0,,
9754.992,,gemma3:4b,run1_p7,125.83,63.0,,
9755.518,,gemma3:4b,run1_p7,125.61,63.0,,
9756.044,,gemma3:4b,run1_p7,125.88,63.0,,
9756.581,,gemma3:4b,run1_p8,104.65,58.0,,
9757.109,,gemma3:4b,run1_p8,87.62,55.0,,
9757.636,,gemma3:4b,run1_p8,101.15,62.0,,
9758.162,,gemma3:4b,run1_p8,125.92,63.0,,
9758.697,,gemma3:4b,run1_p8,125.63,63.0,,
9759.221,,gemma3:4b,run1_p8,126.06,63.0,,
9759.760,,gemma3:4b,run1_p8,126.67,63.0,,
9760.287,,gemma3:4b,run1_p8,125.81,63.0,,
9760.830,,gemma3:4b,run1_p8,125.55,63.0,,
9761.366,,gemma3:4b,run1_p8,126.45,63.0,,
9761.905,,gemma3:4b,run1_p8,126.17,63.0,,
9762.445,,gemma3:4b,run1_p8,125.61,63.0,,
9762.987,,gemma3:4b,run1_p8,126.04,63.0,,
9763.550,,gemma3:4b,run1_p8,126.19,63.0,,
9764.079,,gemma3:4b,run1_p8,125.81,63.0,,
9764.605,,gemma3:4b,run1_p8,125.78,63.0,,
9765.132,,gemma3:4b,run1_p8,126.14,63.0,,
9765.656,,gemma3:4b,run1_p8,125.95,63.0,,
9766.195,,gemma3:4b,run1_p8,125.70,63.0,,
9766.735,,gemma3:4b,run1_p8,126.17,63.0,,
9767.273,,gemma3:4b,run1_p8,125.87,63.0,,
9767.810,,gemma3:4b,run1_p8,126.12,63.0,,
9768.349,,gemma3:4b,run1_p8,126.66,63.0,,
9768.875,,gemma3:4b,run1_p8,126.60,62.0,,
9769.399,,gemma3:4b,run1_p8,126.52,63.0,,
9769.928,,gemma3:4b,run1_p8,126.48,63.0,,
9770.451,,gemma3:4b,run1_p8,126.21,63.0,,
9770.995,,gemma3:4b,run1_p9,94.33,54.0,,
9771.520,,gemma3:4b,run1_p9,78.36,56.0,,
9772.044,,gemma3:4b,run1_p9,102.56,62.0,,
9772.574,,gemma3:4b,run1_p9,126.20,62.0,,
9773.096,,gemma3:4b,run1_p9,126.08,62.0,,
9773.621,,gemma3:4b,run1_p10,126.40,63.0,,
9774.146,,gemma3:4b,run1_p10,112.43,54.0,,
9774.784,,gemma3:4b,run1_p10,114.47,63.0,,
9775.313,,gemma3:4b,run1_p10,126.30,62.0,,
9775.845,,gemma3:4b,run1_p10,126.81,63.0,,
9776.372,,gemma3:4b,run1_p10,127.20,64.0,,
9776.901,,gemma3:4b,run1_p10,127.31,63.0,,
9777.425,,gemma3:4b,run1_p10,127.31,63.0,,
9777.950,,gemma3:4b,run1_p10,126.99,61.0,,
9778.474,,gemma3:4b,run1_p10,127.06,63.0,,
9779.003,,gemma3:4b,run1_p10,126.80,63.0,,
9779.525,,gemma3:4b,run1_p10,126.49,63.0,,
9780.085,,gemma3:4b,run1_p10,126.89,63.0,,
9780.614,,gemma3:4b,run1_p10,126.70,63.0,,
9781.141,,gemma3:4b,run1_p10,126.38,63.0,,
9781.668,,gemma3:4b,run1_p10,126.13,63.0,,
9782.193,,gemma3:4b,run1_p10,126.39,63.0,,
9782.720,,gemma3:4b,run1_p10,126.29,63.0,,
9783.262,,gemma3:4b,run1_p10,126.15,63.0,,
9783.803,,gemma3:4b,run1_p10,126.69,63.0,,
9784.334,,gemma3:4b,run1_p10,126.54,63.0,,
9784.874,,gemma3:4b,run1_p10,126.62,63.0,,
9785.424,,gemma3:4b,run1_p11,105.78,55.0,,
9785.948,,gemma3:4b,run1_p11,85.08,59.0,,
9786.471,,gemma3:4b,run1_p11,106.36,62.0,,
9786.994,,gemma3:4b,run1_p11,126.68,63.0,,
9787.519,,gemma3:4b,run1_p11,126.57,63.0,,
9788.042,,gemma3:4b,run1_p11,126.54,63.0,,
9788.565,,gemma3:4b,run1_p11,126.64,63.0,,
9789.089,,gemma3:4b,run1_p11,126.93,63.0,,
9789.613,,gemma3:4b,run1_p11,126.82,63.0,,
9790.142,,gemma3:4b,run1_p11,126.92,63.0,,
9790.669,,gemma3:4b,run1_p11,126.18,63.0,,
9791.196,,gemma3:4b,run1_p11,125.27,63.0,,
9791.720,,gemma3:4b,run1_p11,125.35,63.0,,
9792.243,,gemma3:4b,run1_p11,125.24,63.0,,
