model,idle_gpu_w,load_gpu_mean_w,load_gpu_peak_w,delta_w,total_gpu_energy_j,energy_per_prompt_j,mean_duration_ms,mean_tokens_per_sec,n_prompts_measured,j_per_token,j_per_out_token
gemma3:1b,12.65,83.26,108.55,70.61,12179.28,270.65,2805.0,207.7,45,0.5318,0.5562
gemma3:4b,16.59,110.25,128.13,93.66,39886.47,886.37,7314.0,78.5,45,1.6039,1.6712
gemma4:e2b,16.67,108.71,120.94,92.04,44236.29,983.03,8623.0,114.0,45,1.0586,1.093
llama3.2:1b,10.95,82.31,108.53,71.36,8808.82,195.75,2062.0,173.0,45,0.5747,0.6472
llama3.2:3b,9.03,101.82,133.67,92.8,17863.66,396.97,3374.0,112.4,45,1.0963,1.2254
mistral:7b,12.0,122.5,138.73,110.49,34640.67,769.79,5869.0,55.1,45,2.346,2.4853
phi4-mini:3.8b,16.55,115.54,132.51,98.99,19148.25,425.52,3507.0,86.5,45,1.5048,1.5946
qwen2.5:3b,19.53,106.02,129.35,86.48,19399.51,431.1,3638.0,107.8,45,1.1147,1.2524
qwen3.5:2b,16.96,103.68,116.04,86.72,123692.11,2748.71,25884.0,91.3,45,1.208,1.2206
